STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,iccs,International classification of crime for statistical purposes (ICCS),unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag)
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0501,Burglary,NR,Number,DE,Germany,2018,,326409,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0501,Burglary,NR,Number,DE,Germany,2019,,311231,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0501,Burglary,NR,Number,DE,Germany,2020,,298357,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0501,Burglary,NR,Number,DE,Germany,2021,,243174,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0501,Burglary,NR,Number,DE,Germany,2022,,260605,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0502,Theft,NR,Number,DE,Germany,2008,,2052913,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0502,Theft,NR,Number,DE,Germany,2009,,1308687,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0502,Theft,NR,Number,DE,Germany,2010,,1219983,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0502,Theft,NR,Number,DE,Germany,2011,,1276065,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0502,Theft,NR,Number,DE,Germany,2012,,1267576,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0502,Theft,NR,Number,DE,Germany,2013,,1289071,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0502,Theft,NR,Number,DE,Germany,2014,,1322144,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0502,Theft,NR,Number,DE,Germany,2015,,1348955,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0502,Theft,NR,Number,DE,Germany,2016,,1290481,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0502,Theft,NR,Number,DE,Germany,2017,,1156422,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0502,Theft,NR,Number,DE,Germany,2018,,1082478,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0502,Theft,NR,Number,DE,Germany,2019,,1025321,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0502,Theft,NR,Number,DE,Germany,2020,,931793,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0502,Theft,NR,Number,DE,Germany,2021,,835368,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0502,Theft,NR,Number,DE,Germany,2022,,1043887,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0601,Unlawful acts involving controlled drugs or precursors,NR,Number,DE,Germany,2008,,239951,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0601,Unlawful acts involving controlled drugs or precursors,NR,Number,DE,Germany,2009,,235842,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0601,Unlawful acts involving controlled drugs or precursors,NR,Number,DE,Germany,2010,,231007,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0601,Unlawful acts involving controlled drugs or precursors,NR,Number,DE,Germany,2011,,236478,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0601,Unlawful acts involving controlled drugs or precursors,NR,Number,DE,Germany,2012,,237150,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0601,Unlawful acts involving controlled drugs or precursors,NR,Number,DE,Germany,2013,,253525,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0601,Unlawful acts involving controlled drugs or precursors,NR,Number,DE,Germany,2014,,276734,,,
